name1,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,type_facility,payment_accepted,services
Amity Medical Group Inc - Monroe Rd,"9835 Monroe Rd, Suite B",,Charlotte,NC,28270,1471,Mecklenburg,704-322-4065,https://www.amitymed.org,35.13803241,-80.73797456,Health Care Centers," Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants","Behavioral Health, Primary Care and Internal Medicine, Care Support Programs, Financial Support Services, Care Management and Education, Pediatric Care, Respiratory Illness and Wellness, Personalized Services, HIV Care, Tele-Prep"
"Amity Medical Group Inc - Dallas, NC",824 Lower Dallas Hwy,,Dallas,NC,28034,9368,Gaston ,704-874-0200,https://www.amitymed.org,35.31626649,-81.16209627,Health Care Centers," Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants","Behavioral Health, Primary Care and Internal Medicine, Care Support Programs, Financial Support Services, Care Management and Education, Pediatric Care, Respiratory Illness and Wellness, Personalized Services, HIV Care, Tele-Prep"
Anuvia Prevention and Recovery Center - Main Campus,100 Billingsley Road,,Charlotte,NC,28211,,Mecklenburg,704-376-7447,https://www.anuvia.org,35.1902095,-80.8098636,Substance Use,Accepts all major insurance carriers,"Alcohol & Drug Treatment, Mental Health Care, Prevention Programs, TeleHealth Services"
Anuvia Prevention and Recovery Center - Main Campus,100 Billingsley Road,,Charlotte,NC,28211,,Mecklenburg,704-376-7447,https://www.anuvia.org,35.1902095,-80.8098636,Mental Health,Accepts all major insurance carriers,"Alcohol & Drug Treatment, Mental Health Care, Prevention Programs, TeleHealth Services"
Anuvia Prevention and Recovery Center - Samuel Billings Center Detox & Residential,429 Billingsley Road,,Charlotte,NC,28211,,Mecklenburg,704-445-6900,https://www.anuvia.org,35.191346,-80.804779,Substance Use,Accepts all major insurance carriers,"Alcohol & Drug Treatment, Mental Health Care, Prevention Programs, TeleHealth Services"
Atrium Health Mindy Ellen Levine Behavioral Health Center ,16740 Davidson Concord Road,Administration,Davidson,NC,28036,,Mecklenburg,704-801-9400,https://atriuMental Healthealth.org,35.4493568,-80.7851299,Mental Health,"County or local government funds, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid",Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children
Atrium Health Addiction Services Ballantyne ,7825 Ballantyne Commons Parkway Suite 110,Substance Useite 110,Charlotte,NC,28277,,Mecklenburg,704-446-0391,https://atriuMental Healthealth.org/locations/detail/atrium-health-addiction-services-ballantyne,35.0576618,-80.8118686,Substance Use,"Medicare, Medicaid, Federal Military Insurance (e.g. TRICARE), Private Health Insurance, Self-Payment",Substance Use Treatment 
Atrium Health Addiction Services Charlotte,447 Billingsley Road Cottage A,Cottage A,Charlotte,NC,28211,,Mecklenburg,704-344-3290,https://atriuMental Healthealth.org/locations/detail/atrium-health-addiction-services-charlotte,35.1922904,-80.8050549,Substance Use,"Medicare, Medicaid, Federal Military Insurance (e.g. TRICARE), Private Health Insurance, Self-Payment",Substance Use Treatment
Atrium Health Mercy Detox,2001 Vail Avenue,,Charlotte,NC,28207,,Mecklenburg,704-304-5000,https://atriumhealth.org/locations/detail/atrium-health-mercy,35.2100301,-80.8217625,Substance Use,"Medicare, Medicaid, Federal Military Insurance (e.g. TRICARE), Private Health Insurance, Self-Payment",
Beaty Recovery Services,"436 East Long Avenue, Suite 2",Substance Useite 2,Gastonia,NC,28054,2540,Gaston,704-864-3900,https://beatyrecovery.com,35.264985,-81.174848,Substance Use,Cash or Self-Payment ,"DWI Assessments, DMV Substance Abuse Evaluation, Counseling Services, DOT(Department of Transportation) Evaluation"
Behavioral Health Services of Lake Norman,"125 Overhill Drive, Suite 105",Suite 105,Mooresville,NC,28117,,Iredell,704-450-8904,https://NPCtherapy.com,35.5991162,-80.8490099,Substance Use,"Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid","Therapy Services (Individual, Couples, and Family Counseling, Anger Management, Parenting, Group Therapy, etc), Online or In-Office sessions, Medication Management"
Behavioral Health Services of Lake Norman,"125 Overhill Drive, Suite 105 ",Suite 105,Mooresville,NC,28117,,Iredell,704-450-8904,https://NPCtherapy.com,35.5991162,-80.8490099,Mental Health,"Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid","Therapy Services (Individual, Couples, and Family Counseling, Anger Management, Parenting, Group Therapy, etc), Online or In-Office sessions, Medication Management"
Blanchard Institute,19902 North Cove Road,,Huntersville,NC,28078,,Mecklenburg,704-584-4111,https://theblanchardinstitute.com,35.479538,-80.892937,Substance Use,"Federal military insurance (e.g., TRICARE), Private health insurance (Aetna, Blue Cross Blue Shield of NC, United Healthcare, Magella Health, Cigna, Oscar, Carelon Behavioral Health, UMR), Cash or self-payment","Substance Abuse Treatment, Alcohol Abuse Treatment, Dual Diagnosis Treatment"
Blanchard Institute,19902 North Cove Road,,Huntersville,NC,28078,,Mecklenburg,704-584-4111,https://theblanchardinstitute.com,35.479538,-80.892937,Mental Health,"Federal military insurance (e.g., TRICARE), Private health insurance (Aetna, Blue Cross Blue Shield of NC, United Healthcare, Magella Health, Cigna, Oscar, Carelon Behavioral Health, UMR), Cash or self-payment","Substance Abuse Treatment, Alcohol Abuse Treatment, Dual Diagnosis Treatment"
Blanchard Institute,10348 Park Road,,Charlotte,NC,28210,,Mecklenburg,704-288-1097,https://theblanchardinstitute.com,35.0953692,-80.8677732,Mental Health,"Federal military insurance (e.g., TRICARE), Private health insurance (Aetna, Blue Cross Blue Shield of NC, United Healthcare, Magella Health, Cigna, Oscar, Carelon Behavioral Health, UMR), Cash or self-payment","Substance Abuse Treatment, Alcohol Abuse Treatment, Dual Diagnosis Treatment"
Blanchard Institute,10348 Park Road,,Charlotte,NC,28210,,Mecklenburg,704-288-1097,https://theblanchardinstitute.com,35.0953285,-80.8677448,Substance Use,"Federal military insurance (e.g., TRICARE), Private health insurance (Aetna, Blue Cross Blue Shield of NC, United Healthcare, Magella Health, Cigna, Oscar, Carelon Behavioral Health, UMR), Cash or self-payment","Substance Abuse Treatment, Alcohol Abuse Treatment, Dual Diagnosis Treatment"
BrightView Salisbury Addiction Treatment Center,1930 Jake Alexander Blvd W Suite 1000,,Salisbury,NC,28147,,Rowan,888-501-9865,https://www.brightviewhealth.com/locations/salisbury-addiction-treatment-center/ ,35.691835,-80.511527,"Substance Use Treatment, Opioid Treatment Programs, Medication Assisted Treatment (MAT), etc"," IHS/Tribal/Urban (ITU) funds, Medicare, Medicaid, Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid",Substance Use Treatment
"C.W. Williams Community Health Center, Inc.",800 Clanton Road,,Charlotte,NC,28217,1373,Mecklenburg,866-299-4968,https://www.cwwilliams.org,35.19929901,-80.8830203,Health Care Centers,Call for More Information,"Primary/Preventive Medical Care, Behavioral Healthcare, Pharmaceutical Services, Check Your Smile Dental Services, Non-emergency medical transportation, Allergy testing and immunotherapy, Community Outreach"
"C.W. Williams Community Health Center, Inc.",5800 Old Pineville Rd,,Charlotte,NC,28217,4106,Mecklenburg,866-299-4968,https://www.cwwilliams.org,35.16102698,-80.87897008,Health Care Centers,Call for More Information,"Primary/Preventive Medical Care, Behavioral Healthcare, Pharmaceutical Services, Check Your Smile Dental Services, Non-emergency medical transportation, Allergy testing and immunotherapy, Community Outreach"
Carolina Energetics PC,310 Mocksville Avenue,,Salisbury,NC,28144,,Rowan,704-762-9630,https://carolinaenergetics.com/,35.6785816,-80.4710708,Substance Use,Call for More Information,Substance Abuse Treatment
Carolina Outpatient Detox,"1117 East Morehead Street, Suite 100",Suite 100,Charlotte,NC,28204,,Mecklenburg,888-415-4143,https://www.carolinaoutpatientdetox.com,35.2110503,-80.8406981,Substance Use,"Medicare; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; SAMHSA funding/block grants","Substance Use Treatment, Detox Programs"
Carolina Outreach Charlotte,"301 McCullough Drive, Suite 520",Substance Useite 520,Charlotte,NC,28262,,Mecklenburg,704-332-8787,https://www.carolinaoutreach.com,35.301393,-80.7573702,Mental Health,Medicare; Medicaid; Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid,"Child & Adolescent Services (Diagnostic Assessment, In-Home Therapy, etc), Adult Services(Diagnostic Assessment, Outpatient therapy, etc), Substance Use Services"
Carolina Specialty Care PA ,293 Old Mocksville Road,,Statesville,NC,28625,,Iredell,704-872-8711,https://www.carolinaspecialtycare.com,35.8228361,-80.8319833,Substance Use,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants",Substance Use Treatment
CaroMont Psychiatric Associates ,1337 East Garrison Boulevard,,Gastonia,NC,28054,,Gaston,704-865-3848,https://caromonthealth.org/locations/caromont-regional-medical-center/,35.25235178,-81.16150008,Mental Health,Call for More Information," Diagnostic evaluation and treatment for conditions like ADHD, Mood Disorders, Psychotic Disorders and Anxiety Disorders for adults, children and adolescents, etc"
Catawba Valley Family Medicine - Claremont,3114 W Main St,,Claremont,NC,28610,9609,Catawba,828-459-7324,https://www.kintegra.org/locations/catawba-valley-family-medicine-claremont/ ,35.71455278,-81.15221677,Health Care Centers,Call for More Information,Family Medicine Provider
Catawba Valley Family Medicine - Maiden,137 Island Ford Rd,,Maiden,NC,28650,8735,Catawba & Lincoln,828-428-2446,https://www.catawbavalleyhealth.org/location/catawba-valley-extended-hours-maiden/,35.56690987,-81.19398279,Health Care Centers,Call for More Information,"Migraines, Asthma, Urinary Tract Infection, Upper Respiratory Infection, Eye Infection or Minor Injuries, Skin Infection, Gastrointestinal Illness, etc."
Changing Lives Matter LLC,2591 East Main Street,,Lincolnton,NC,28092,,Lincoln,704-240-8097,https://www.changinglivesmatterllc.net,35.4815513,-81.2083469,Substance Use,Medicaid; Cash or self-payment,"Peer Support Service, Group Counseling"
Changing Lives Matter LLC,2591 East Main Street,,Lincolnton,NC,28092,,Lincoln,704-240-8097,https://www.changinglivesmatterllc.net,35.4815513,-81.2083469,Mental Health,Medicaid; Cash or self-payment,"Peer Support Service, Group Counseling"
Charlotte Community Health Clinic,"8401 Medical Plaza Dr, Substance Useite 300",,Charlotte,NC,28262,8702,Mecklenburg,704-316-6561,https://charlottecommunityhealthclinic.org/,35.31910255,-80.7767231,Health Care Centers,,
Charlotte Community Health Clinic - Express Care,3622 Central Ave,,Charlotte,NC,28205,5638,Mecklenburg,704-316-6561,https://charlottecommunityhealth.org/en/,35.21556208,-80.78347246,Health Care Centers,,
Charlotte Community Health Clinic - University Clinic,8401 Medical Plaza Dr Suite 300,,Charlotte,NC,28262,8701,Mecklenburg,704-316-6561,https://charlottecommunityhealth.org/en/for-patients/hours-and-locations/,35.31884196,-80.77586689,Health Care Centers (HRSA) - Ambulatory Health Care Facilities,,
Charlotte Community Health Clinic - West Clinic,5301 Wilkinson Blvd,,Charlotte,NC,28208,5455,Mecklenburg,704-316-6561,https://charlottecommunityhealth.org/en/for-patients/hours-and-locations/ ,35.23170906,-80.92680845,Health Care Centers (HRSA),,
Charlotte Community Health Clinic West,5301 Wilkinson Blvd,,Charlotte ,NC,28208,5455,Mecklenburg,704-316-6574,https://charlottecommunityhealthclinic.org/,35.23170906,-80.92680845,Health Care Centers,,
Charlotte Community Health Clinic: Atrium Mobile Health Unit,5301 Wilkinson Blvd,,Charlotte,NC,28208,5455,Mecklenburg,704-316-6561,https://charlottecommunityhealth.org/en/,35.23170906,-80.92680845,Health Care Centers,,
Charlotte Rescue Mission - Men's Recovery,915 West 1st Street,,Charlotte,NC,28202,,Mecklenburg,704-333-4673,https://www.charlotterescuemission.org,35.229507,-80.8563745,Substance Use,Call for More Information,Christian-based residential recovery programs 
New Season Treatment Center - Charlotte,3315 Wilkinson Boulevard,,Charlotte,NC,28208,,Mecklenburg,704-697-0044,https://www.NewSeason.com/,35.2240138,-80.8952361,Substance Use,"Self-payment, Medicare, Medicaid, Most Commercial Insurance plans","Substance Use Treatment (Opioid Addiction Counseling, Medication-Assisted Treatment, etc)"
China Grove Family Medicine,307 East Thom Street,,China Grove,NC,28023,2363,Rowan,704-855-5200,https://www.crchc.org/china-grove-family-medicine/ ,35.57073747,-80.58013515,Health Care Centers,Call for More Information,"Behavioral Health, Primary Care, Prevention & Wellness, Telehealth, Immunizations, Dental Services, etc"
CMC Northeast Partial Hospitalization Program,675 Memorial Boulevard,Substance Useite 102,Concord,NC,28025,2402,Cabarrus,704-403-1831,https://atriuMental Healthealth.org,35.4380102,-80.6024255,Mental Health,,
CRCHC Administrative Auxiliary Offices,212B Mcgill Ave NW,,Concord,NC,28025,4615,Cabarrus,704-792-2242,https://crchc.org,35.41665203,-80.59745867,Health Care Centers,,
Charlotte Rescue Mission - Women's Recovery,2855 West Boulevard,,Charlotte,NC,28208,,Mecklenburg,704-333-4673,https://www.charlotterescuemission.org,35.20772933,-80.91159207,Health Care Centers,Call for More Information,Christian-based residential recovery programs 
CRCHC at Shelter Health Services,534 Spratt St,,Charlotte,NC,28206,2913,Mecklenburg,704-792-2242,https://www.crchc.org,35.23984981,-80.83705168,Health Care Centers,,
CRCHC Homeless Clinic at,226 N Long St,,Salisbury,NC,28144,5049,Rowan,704-637-6838,https://www.crchc.org,35.66629582,-80.46467063,Health Care Centers,,
CRCHC Homeless Clinic at Salvation Army Concord,45 Ashlyn Drive Southeast,,Concord,NC,28025,3546,Cabarrus,704-792-2200,https://www.crchc.org,35.41449427,-80.57363855,Health Care Centers,,
CRCHC Mobile Dental Unit,202D McGill Ave NW,,Concord,NC,28025,,Cabarrus,704-792-2203,https://www.crchc.org,35.41728959,-80.59720712,Health Care Centers,,
CRCHC Mobile Unit,202D McGill Ave NW,,Concord,NC,28025,,Cabarrus,704-792-2203,https://www.crchc.org,35.41728959,-80.59720712,Health Care Centers,,
CRCHC Patterson Farm Migrant Clinic ,3060 Millbridge Rd,,China Grove,NC,28023,7716,Rowan,704-855-5200 x5214,https://www.crchc.org,35.61533355,-80.65283538,Health Care Centers,,
CWWCHC Medical Mobile Unit,3333 Wilkinson Boulevard,,Charlotte,NC,28208,5631,Mecklenburg,704-391-0819,https://www.cwwilliams.org,35.22417146,-80.89610068,Health Care Centers,,
Dave Cathcart Pediatric Clinic,769 N Wendover Rd,,Charlotte,NC,28211,1118,Mecklenburg,704-316-6561,https://charlottecommunityhealth.org/en/,35.19034018,-80.79902592,Health Care Centers,,
Day by Day Family Services,6608 East WT Harris Boulevard,Substance Useites C-D,Charlotte,NC,28215,,Mecklenburg,704-405-4265,https://www.daybydayfamilyservices.com,35.2295583,-80.728696,Mental Health,,
Daymark Recovery Services,913 Carolina Avenue North,Highway 21 North,Statesville,NC,28625,,Iredell,704-873-1114,https://www.daymarkrecovery.org,35.8059406,-80.8779952,Substance Use,"Medicare, Medicaid, Other insurance plan, self payment",Behavioral Health Services
Daymark Recovery Services,913 Carolina Avenue North,Highway 21 North,Statesville,NC,28625,,Iredell,704-873-1114,https://www.daymarkrecovery.org,35.8059406,-80.8779952,Mental Health,"Medicare, Medicaid, Other insurance plan, self payment",Behavioral Health Services
Daymark Recovery Services,284 Executive Park Drive Suite 160,Suite 160,Concord,NC,28025,,Cabarrus,704-939-1100 x1272,https://www.daymarkrecovery.org,35.4525795,-80.598832,Substance Use,"Medicare, Medicaid, Other insurance plan, self payment",Behavioral Health Services
Daymark Recovery Services,524 Signal Hill Drive Extension,,Statesville,NC,28625,,Iredell,704-871-1045,https://www.daymarkrecovery.org,35.8030977,-80.8507093,Substance Use,"Medicare, Medicaid, Sliding Fee Scale offered",Comprehensive Behavioral Healthcare services 
Daymark Recovery Services,524 Signal Hill Drive Extension,,Statesville,NC,28625,,Iredell,704-871-1045,https://www.daymarkrecovery.org,35.8030977,-80.8507093,Mental Health,"Medicare, Medicaid, Sliding Fee Scale offered",Comprehensive Behavioral Healthcare services 
Daymark Recovery Services,2129 Statesville Boulevard,,Salisbury,NC,28147,,Rowan,704-633-3616,https://www.daymarkrecovery.org,35.693257,-80.5185791,Mental Health,"Medicare, Medicaid",Behavioral Health Services
Daymark Recovery Services,2129 Statesville Boulevard,,Salisbury,NC,28147,,Rowan,704-633-3616,https://www.daymarkrecovery.org,35.693257,-80.5185791,Substance Use,"Medicare, Medicaid",Behavioral Health Services
Daymark Recovery Services Cabarrus Center ,284 Executive Park Drive Suite 160,Suite 160,Concord,NC,28025,,Cabarrus,704-939-1100 x1272,https://www.daymarkrecovery.org,35.4525795,-80.598832,Mental Health,"Medicare, Medicaid, Other insurance plan, self payment",Behavioral Health Services
Daymark Recovery Services Inc,616 Colonnade Drive,,Charlotte,NC,28205,,Mecklenburg,704-273-3942,https://daymarkrecovery.org/bhuc-mecklenburg/,35.2049986,-80.8027477,Mental Health,"Medicare, Medicaid, Other insurance plan, self payment",Behavioral Health Services
Daymark Recovery Services Inc,616 Colonnade Drive,,Charlotte,NC,28205,,Mecklenburg,704-273-3942,https://daymarkrecovery.org/bhuc-mecklenburg/,35.2049986,-80.8027477,Substance Use,"Medicare, Medicaid, Other insurance plan, self payment",Behavioral Health Services
Dilworth Center,2240 Park Road,,Charlotte,NC,28203,,Mecklenburg,704-372-6969,https://www.dilworthcenter.org,35.198437,-80.8533991,Substance Use,,
Doves Nest Program Womens Div/Charlotte Rescue Mission,2855 West Boulevard,,Charlotte,NC,28208,,Mecklenburg,704-332-3999 x114,https://www.charlotterescuemission.org,35.2075748,-80.9115275,Substance Use,,
Dreams and Visions - DBA New Vision Home II,3430 Dalecrest Drive,,Charlotte,NC,28269,,Mecklenburg,704-281-7261,https://plainrecovery.com/facility/dreams-and-visions-dba-new-vision-home-ii-charlotte-nc,35.2836683,-80.822046,Mental Health,,
Family First Community Servs LLC,3705 Latrobe Drive,Substance Useite 340,Charlotte,NC,28211,4823,Mecklenburg,704-364-3989,https://www.familyfirstcommunity.com,35.195993,-80.7965011,Mental Health,,
Flynn Fellowship Home of Gastonia Inc ,311 South Marietta Street,,Gastonia,NC,28052,4365,Gaston,704-865-9395,https://www.flynnhome.info/,35.2597536,-81.1821293,Substance Use,,
Freedom Detox,1089 X Ray Drive,,Gastonia,NC,28054,,Gaston,980-320-1067,https://www.freedomdetoxnc.com,35.2771484,-81.1378357,Substance Use,,
Freedom Detox,1089 X Ray Drive,,Gastonia,NC,28054,,Gaston,980-320-1067,https://www.freedomdetoxnc.com,35.2771484,-81.1378357,Mental Health,,
Gastonia Treatment Center Metro Treatment of North Carolina LP,1455 East Franklin Boulevard,,Gastonia,NC,28054,,Gaston,980-285-2990,https://www.newseason.com/clinics/gastonia-treatment-center,35.2607373,-81.1562087,Substance Use,,
Genesis A New Beginning,629 West Innes Street,Substance Useite 214,Salisbury,NC,28144,,Rowan,704-720-7770,https://www.genesis-anb.com,,,Substance Use,,
Genesis A New Beginning,629 West Innes Street,Substance Useite 214,Salisbury,NC,28144,,Rowan,704-720-7770,https://www.genesis-anb.com,,,Mental Health,,
Genesis A New Beginning,245 Le Phillip Court NE,,Concord,NC,28025,,Cabarrus,704-720-7770,https://www.genesis-anb.com,35.4416945,-80.5953914,Substance Use,,
Genesis A New Beginning,245 Le Phillip Court NE,,Concord,NC,28025,,Cabarrus,704-720-7770,https://www.genesis-anb.com,35.4416945,-80.5953914,Mental Health,,
Genesis Project 1 Inc,5104 Reagan Drive,Substance Useite 5,Charlotte,NC,28206,,Mecklenburg,704-596-0505 x102,https://www.genproject1.com,35.276591,-80.7962346,Mental Health,,
Harmony Recovery Center,11403 North Tryon Street,,Charlotte,NC,28262,,Mecklenburg,704-970-4106,https://harmonyrecoverync.com,35.3355303,-80.7164397,Mental Health,,
Harmony Recovery Center,11403 North Tryon Street,,Charlotte,NC,28262,,Mecklenburg,704-970-4106,https://harmonyrecoverync.com,35.3355303,-80.7164397,Substance Use,,
Highland Mist Home,913 Highland Mist Lane,,Charlotte,NC,28215,,Mecklenburg,704-532-4770,https://www.mybrothershouseinc.net,,,Mental Health,,
Hope Haven Inc,3815 North Tryon Street,,Charlotte,NC,28206,,Mecklenburg,704-372-8809,https://www.hopehaveninc.org,35.2560542,-80.8004464,Substance Use,,
HopeWay,1717 Sharon Road West,,Charlotte,NC,28210,,Mecklenburg,980-859-2106,https://hopeway.org,35.118824,-80.8734945,Mental Health,,
Insight Program,920 Blairhill Road,Substance Useite B-103,Charlotte,NC,28217,,Mecklenburg,704-679-9600,https://theinsightprogram.com/drug-alcohol-treatment-programs/charlotte-nc/,35.197891,-80.8856349,Substance Use,,
Integrated BH Management Inc,8430 Medical Plaza Drive,Substance Useite 300,Charlotte,NC,28262,,Mecklenburg,704-910-6142,https://www.ibhmgmt.org,35.3205458,-80.7750386,Substance Use,"Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance (e.g. Aetna, Anthems, United Healthcare, Blue Cross Blue Shield of NC, etc), Cash or self-payment","Mental Health Services, Substance Use Disorder, Counseling Therapy, Intellectual Developmental Disability, Evidence Based Tobacco Treatment, Primary Care Services "
Integrated Care of Greater Hickory,523 Brookdale Drive,,Statesville,NC,28677,,Iredell,828-322-5915,https://www.integratedcarehickory.com,35.7978436,-80.8776301,Mental Health,,
Integrated Care of Greater Hickory ICGH Gastonia ,902 East Garrison Boulevard,,Gastonia,NC,28054,,Gaston,828-322-5915,https://www.integratedcarehickory.com,35.2535523,-81.168662,Mental Health,,
Integrated Care of Greater Hickory ICGH Gastonia ,902 East Garrison Boulevard,,Gastonia,NC,28054,,Gaston,828-322-5915,https://www.integratedcarehickory.com,35.2535523,-81.168662,Substance Use,,
Integrated Care of Greater Hickory ICGH Lincolnton,200 Gamble Drive,,Lincolnton,NC,28092,,Lincoln,704-240-3066,https://www.integratedcarehickory.com,35.4704967,-81.2360281,Mental Health,,
Iredell Pediatrics,728 Hartness Rd,,Statesville,NC,28677,3425,Iredell,704-380-6420,https://www.kintegra.org,35.79851548,-80.88097939,Health Care Centers,,
Iredell Psychiatry,515 Brookdale Drive,,Statesville,NC,28677,4107,Iredell,704-380-3620,https://www.kintegra.org,35.79806055,-80.87676346,Health Care Centers,,
Kintegra Adult and Pediatric Medicine - X Ray Dr,2721 X Ray Dr,,Gastonia,NC,28054,7491,Gaston,704-874-2255,https://www.kintegra.org,35.27685424,-81.14080992,Health Care Centers,,
Kintegra at Ashbrook High School ,2222 S New Hope Rd,,Gastonia,NC,28054,8428,Gaston,704-866-6600,https://www.kintegra.org,35.24312781,-81.12731506,Health Care Centers,,
Kintegra at Balls Creek Elementary ,2620 Balls Creek Rd,,Newton,NC,28658,8109,Catawba,828-464-4766,https://www.kintegra.org,35.63012007,-81.12808594,Health Care Centers,,
Kintegra at Bandys High,5040 E Bandys Xrd,,Catawba,NC,28609,,Catawba,828-241-1471,https://www.kintegra.org,35.64273799,-81.08487503,Health Care Centers,,
